country,year,age,sex,suicides/100k
Albania,1987,15-24,0,6.71
Albania,1987,35-54,0,5.19
Albania,1987,15-24,1,4.83
Albania,1987,75+,0,4.59
Albania,1987,25-34,0,3.28
Albania,1987,75+,1,2.81
Albania,1987,35-54,1,2.15
Albania,1987,25-34,1,1.56
Albania,1987,55-74,0,0.73
Albania,1987,5-14,1,0
Albania,1987,55-74,1,0
Albania,1987,5-14,0,0
Albania,1988,75+,1,5.49
Albania,1988,15-24,0,5.33
Albania,1988,75+,0,4.48
Albania,1988,35-54,0,4.46
Albania,1988,55-74,0,2.85
Albania,1988,15-24,1,2.71
Albania,1988,55-74,1,2.03
Albania,1988,25-34,1,1.91
Albania,1988,25-34,0,1.79
Albania,1988,35-54,1,1.41
Albania,1988,5-14,1,0
Albania,1988,5-14,0,0
Albania,1989,75+,0,8.89
Albania,1989,25-34,0,6.35
Albania,1989,35-54,0,4.71
Albania,1989,55-74,0,4.22
Albania,1989,15-24,0,3.71
Albania,1989,35-54,1,2.43
Albania,1989,15-24,1,1.67
Albania,1989,25-34,1,0.75
Albania,1989,55-74,1,0.67
Albania,1989,5-14,1,0
Albania,1989,75+,1,0
Albania,1989,5-14,0,0
Albania,1992,35-54,0,3.49
Albania,1992,15-24,0,3.41
Albania,1992,55-74,0,3.13
Albania,1992,25-34,0,2.85
Albania,1992,15-24,1,2.39
Albania,1992,25-34,1,1.5
Albania,1992,35-54,1,0.62
Albania,1992,55-74,1,0.61
Albania,1992,5-14,1,0
Albania,1992,75+,1,0
Albania,1992,5-14,0,0
Albania,1992,75+,0,0
Albania,1993,15-24,0,7.4
Albania,1993,55-74,0,4.24
Albania,1993,75+,0,4.13
Albania,1993,25-34,0,3.91
Albania,1993,15-24,1,3.51
Albania,1993,35-54,0,2.85
Albania,1993,25-34,1,2.67
Albania,1993,35-54,1,2.11
Albania,1993,55-74,1,1.18
Albania,1993,5-14,1,0.29
Albania,1993,5-14,0,0.27
Albania,1993,75+,1,0
Albania,1994,75+,0,8.13
Albania,1994,55-74,0,6.42
Albania,1994,75+,1,5.01
Albania,1994,25-34,0,2.59
Albania,1994,35-54,0,2.48
Albania,1994,15-24,0,2.48
Albania,1994,15-24,1,2.12
Albania,1994,25-34,1,1.53
Albania,1994,35-54,1,0.58
Albania,1994,55-74,1,0.57
Albania,1994,5-14,0,0.27
Albania,1994,5-14,1,0
Albania,1995,25-34,0,5.58
Albania,1995,55-74,0,5.06
Albania,1995,75+,1,4.9
Albania,1995,15-24,1,4.59
Albania,1995,15-24,0,4.56
Albania,1995,75+,0,3.98
Albania,1995,35-54,0,3.72
Albania,1995,25-34,1,2.65
Albania,1995,35-54,1,2.24
Albania,1995,5-14,0,1.59
Albania,1995,55-74,1,1.11
Albania,1995,5-14,1,0.57
Albania,1996,75+,0,7.87
Albania,1996,15-24,0,6.98
Albania,1996,25-34,0,5.95
Albania,1996,15-24,1,5.56
Albania,1996,75+,1,4.85
Albania,1996,25-34,1,3.73
Albania,1996,35-54,0,3.16
Albania,1996,35-54,1,2.49
Albania,1996,55-74,0,1.67
Albania,1996,55-74,1,0.55
Albania,1996,5-14,0,0.53
Albania,1996,5-14,1,0.28
Albania,1997,25-34,0,15.25
Albania,1997,15-24,0,13.5
Albania,1997,75+,0,11.81
Albania,1997,35-54,0,7.88
Albania,1997,15-24,1,7.14
Albania,1997,55-74,0,6.66
Albania,1997,25-34,1,5.84
Albania,1997,75+,1,4.75
Albania,1997,35-54,1,1.89
Albania,1997,5-14,1,1.66
Albania,1997,5-14,0,1.05
Albania,1997,55-74,1,0
Albania,1998,75+,0,11.63
Albania,1998,15-24,0,10.85
Albania,1998,15-24,1,10.83
Albania,1998,25-34,0,10.82
Albania,1998,35-54,0,7.47
Albania,1998,55-74,0,4.9
Albania,1998,25-34,1,3.63
Albania,1998,55-74,1,3.19
Albania,1998,35-54,1,2.42
Albania,1998,5-14,0,0.51
Albania,1998,5-14,1,0.27
Albania,1998,75+,1,0
Albania,1999,75+,0,11.58
Albania,1999,15-24,0,9.58
