country,year,age,sex,gdp_for_year,suicides/100k
Albania,1987,19.5,0,2156624900,6.71
Albania,1987,44.5,0,2156624900,5.19
Albania,1987,19.5,1,2156624900,4.83
Albania,1987,87.5,0,2156624900,4.59
Albania,1987,29.5,0,2156624900,3.28
Albania,1987,87.5,1,2156624900,2.81
Albania,1987,44.5,1,2156624900,2.15
Albania,1987,29.5,1,2156624900,1.56
Albania,1987,64.5,0,2156624900,0.73
Albania,1987,9.5,1,2156624900,0
Albania,1987,64.5,1,2156624900,0
Albania,1987,9.5,0,2156624900,0
Albania,1988,87.5,1,2126000000,5.49
Albania,1988,19.5,0,2126000000,5.33
Albania,1988,87.5,0,2126000000,4.48
Albania,1988,44.5,0,2126000000,4.46
Albania,1988,64.5,0,2126000000,2.85
Albania,1988,19.5,1,2126000000,2.71
Albania,1988,64.5,1,2126000000,2.03
Albania,1988,29.5,1,2126000000,1.91
Albania,1988,29.5,0,2126000000,1.79
Albania,1988,44.5,1,2126000000,1.41
Albania,1988,9.5,1,2126000000,0
Albania,1988,9.5,0,2126000000,0
Albania,1989,87.5,0,2335124988,8.89
Albania,1989,29.5,0,2335124988,6.35
Albania,1989,44.5,0,2335124988,4.71
Albania,1989,64.5,0,2335124988,4.22
Albania,1989,19.5,0,2335124988,3.71
Albania,1989,44.5,1,2335124988,2.43
Albania,1989,19.5,1,2335124988,1.67
Albania,1989,29.5,1,2335124988,0.75
Albania,1989,64.5,1,2335124988,0.67
Albania,1989,9.5,1,2335124988,0
Albania,1989,87.5,1,2335124988,0
Albania,1989,9.5,0,2335124988,0
Albania,1992,44.5,0,709452584,3.49
Albania,1992,19.5,0,709452584,3.41
Albania,1992,64.5,0,709452584,3.13
Albania,1992,29.5,0,709452584,2.85
Albania,1992,19.5,1,709452584,2.39
Albania,1992,29.5,1,709452584,1.5
Albania,1992,44.5,1,709452584,0.62
Albania,1992,64.5,1,709452584,0.61
Albania,1992,9.5,1,709452584,0
Albania,1992,87.5,1,709452584,0
Albania,1992,9.5,0,709452584,0
Albania,1992,87.5,0,709452584,0
Albania,1993,19.5,0,1228071038,7.4
Albania,1993,64.5,0,1228071038,4.24
Albania,1993,87.5,0,1228071038,4.13
Albania,1993,29.5,0,1228071038,3.91
Albania,1993,19.5,1,1228071038,3.51
Albania,1993,44.5,0,1228071038,2.85
Albania,1993,29.5,1,1228071038,2.67
Albania,1993,44.5,1,1228071038,2.11
Albania,1993,64.5,1,1228071038,1.18
Albania,1993,9.5,1,1228071038,0.29
Albania,1993,9.5,0,1228071038,0.27
Albania,1993,87.5,1,1228071038,0
Albania,1994,87.5,0,1985673798,8.13
Albania,1994,64.5,0,1985673798,6.42
Albania,1994,87.5,1,1985673798,5.01
Albania,1994,29.5,0,1985673798,2.59
Albania,1994,44.5,0,1985673798,2.48
Albania,1994,19.5,0,1985673798,2.48
Albania,1994,19.5,1,1985673798,2.12
Albania,1994,29.5,1,1985673798,1.53
Albania,1994,44.5,1,1985673798,0.58
Albania,1994,64.5,1,1985673798,0.57
Albania,1994,9.5,0,1985673798,0.27
Albania,1994,9.5,1,1985673798,0
Albania,1995,29.5,0,2424499009,5.58
Albania,1995,64.5,0,2424499009,5.06
Albania,1995,87.5,1,2424499009,4.9
Albania,1995,19.5,1,2424499009,4.59
Albania,1995,19.5,0,2424499009,4.56
Albania,1995,87.5,0,2424499009,3.98
Albania,1995,44.5,0,2424499009,3.72
Albania,1995,29.5,1,2424499009,2.65
Albania,1995,44.5,1,2424499009,2.24
Albania,1995,9.5,0,2424499009,1.59
Albania,1995,64.5,1,2424499009,1.11
Albania,1995,9.5,1,2424499009,0.57
Albania,1996,87.5,0,3314898292,7.87
Albania,1996,19.5,0,3314898292,6.98
Albania,1996,29.5,0,3314898292,5.95
Albania,1996,19.5,1,3314898292,5.56
Albania,1996,87.5,1,3314898292,4.85
Albania,1996,29.5,1,3314898292,3.73
Albania,1996,44.5,0,3314898292,3.16
Albania,1996,44.5,1,3314898292,2.49
Albania,1996,64.5,0,3314898292,1.67
Albania,1996,64.5,1,3314898292,0.55
Albania,1996,9.5,0,3314898292,0.53
Albania,1996,9.5,1,3314898292,0.28
Albania,1997,29.5,0,2359903108,15.25
Albania,1997,19.5,0,2359903108,13.5
Albania,1997,87.5,0,2359903108,11.81
Albania,1997,44.5,0,2359903108,7.88
Albania,1997,19.5,1,2359903108,7.14
Albania,1997,64.5,0,2359903108,6.66
Albania,1997,29.5,1,2359903108,5.84
Albania,1997,87.5,1,2359903108,4.75
Albania,1997,44.5,1,2359903108,1.89
Albania,1997,9.5,1,2359903108,1.66
Albania,1997,9.5,0,2359903108,1.05
